symbol,name,horizon_days,model,status,model_status,train_rows,test_rows,eligible_for_comparison,mae,rmse,mape,smape,rmspe,mase,absolute_percentage_error_p50,absolute_percentage_error_p90,directional_accuracy,error_message,arima_order
bnsol,Binance Staked SOL,14,ARIMA,success,VALIDATED,292,59,True,24.259384031770924,29.633537447652884,13.983116019022585,12.687146219907683,17.413994553318478,4.086599305105743,13.366700730643242,27.11567205711989,50.847457627118644,,"(1, 1, 2)"
bnsol,Binance Staked SOL,14,Naive,success,VALIDATED_BASELINE,292,59,True,24.462881622610183,29.787658649748032,14.035298123601805,12.752512551078318,17.42932333654088,4.120879363998636,13.857764732737024,26.941573741710283,0.0,,
bnsol,Binance Staked SOL,14,XGBoost,success,EXPERIMENTAL,292,59,True,36.91231494782387,43.66853467363295,22.488054804228234,19.300222285529035,27.875770837968574,6.218040838055429,18.136840242601547,45.86165141319651,38.983050847457626,,
bnsol,Binance Staked SOL,30,ARIMA,success,VALIDATED,292,43,True,47.82945489185249,52.02470462757058,29.76199222895879,25.211184454560488,32.95422865444952,8.057080792680061,35.79989718168585,42.94344521437623,46.51162790697674,,"(1, 1, 2)"
bnsol,Binance Staked SOL,30,Naive,success,VALIDATED_BASELINE,292,43,True,47.7015850490812,51.98410714504735,29.679827810867078,25.1386012356358,32.92572658820097,8.035540558602856,35.06141949206165,43.37618050192135,0.0,,
bnsol,Binance Staked SOL,30,XGBoost,success,EXPERIMENTAL,292,43,True,51.38138183462938,61.1253998979467,33.466244142097175,26.86958459438939,41.05080752388701,8.655418415643968,33.593628872181796,65.07015165601989,37.2093023255814,,
ena,Ethena,1,ARIMA,success,VALIDATED,292,72,True,0.02252092332161165,0.029106582499396683,5.594581440970293,5.4848331786943465,7.162377666748428,0.7037268424082266,5.070490698626219,9.300194776216776,45.83333333333333,,"(1, 1, 1)"
ena,Ethena,1,Naive,success,VALIDATED_BASELINE,292,72,True,0.022312476533494156,0.028732550444889603,5.4906861824756525,5.424122744851141,6.988541933775261,0.6972133616811157,4.889124142883867,10.46654895796979,0.0,,
ena,Ethena,1,XGBoost,success,EXPERIMENTAL,292,72,True,0.045627580249341056,0.05743666828201178,12.175379612104557,11.138939920205251,15.49276402646592,1.4257565072735627,9.768161991270016,25.339284827390372,41.66666666666667,,
ena,Ethena,3,ARIMA,success,VALIDATED,292,70,True,0.03704782491257566,0.050265854257458546,9.662644354339331,9.095316446892507,13.184148351397964,1.1576589676854316,8.20230951224806,17.447240850866994,44.285714285714285,,"(1, 1, 1)"
ena,Ethena,3,Naive,success,VALIDATED_BASELINE,292,70,True,0.03645849823723366,0.04974373463774873,9.398706038381995,8.941720250973809,12.897567629896383,1.1392438701131495,7.4556931852986805,17.778980647812975,0.0,,
ena,Ethena,3,XGBoost,success,EXPERIMENTAL,292,70,True,0.11888889273183594,0.1329727552158017,34.804322416186686,28.169629292373983,41.06844220965378,3.715003327563303,38.28506909978603,67.34554705652765,37.142857142857146,,
ena,Ethena,7,ARIMA,success,VALIDATED,292,66,True,0.05762795080936893,0.07617016221383233,15.760575371077904,14.109310479609091,20.76665423570128,1.8007403727811122,10.760333452060593,36.91022542971719,45.45454545454545,,"(1, 1, 1)"
ena,Ethena,7,Naive,success,VALIDATED_BASELINE,292,66,True,0.056058556678023966,0.07538262730383635,15.1801070373398,13.733579760046362,20.27645265478879,1.7517004306449229,11.810504574518692,36.12416195209078,0.0,,
ena,Ethena,7,XGBoost,success,EXPERIMENTAL,292,66,True,0.18268854668773138,0.19850898848523313,53.637915061932134,40.12719374372165,61.185416866464855,5.708595170311376,55.500093001553466,91.74182389126942,37.878787878787875,,
